id,Missing,HGSHS.A1,HGSHS.A2,HGSHS.A3,HGSHS.A4,HGSHS.A5,HGSHS.A6,HGSHS.A7,HGSHS.A8,HGSHS.A9,HGSHS.A10,HGSHS.A11,HGSHS.A12PRE,HGSHS.A12POST,HGSHS.A12,INV.1,INV.2,INV.3,INV.4,INV.5,INV.6,INV.7,INV.8,INV.9,INV.10,INV.11,INV.12
148,0,0,1,1,0,0,0,1,0,0,0,0,5,1,0,0,3,4,0,0,0,3,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,1,0,1,0,0,0,0,0,0
150,0,0,0,0,1,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,3,0,2,0,0,0
151,0,0,1,1,1,1,1,1,1,0,1,0,6,1,0,5,3,4,4,3,4,4,4,0,4,0,0
152,0,0,1,1,0,0,1,1,1,0,0,0,3,3,1,1,2,3,2,1,3,4,3,0,2,0,2
153,0,0,1,0,1,1,1,1,1,1,0,0,4,3,0,4,5,3,4,4,4,5,3,3,2,0,2
154,0,1,1,1,1,1,0,1,1,0,1,0,5,4,0,4,4,5,4,5,2,4,5,2,5,0,3
155,0,0,1,1,1,1,1,1,0,1,1,1,8,2,0,3,5,1,2,4,1,5,0,5,5,1,3
156,0,1,0,1,0,1,1,1,0,0,0,0,8,1,0,4,4,2,4,2,4,2,0,0,1,0,0
157,0,1,1,1,0,1,0,1,1,1,0,1,4,6,0,5,4,2,3,5,4,3,5,2,4,3,5
158,0,1,1,1,1,1,0,1,1,0,1,1,7,3,0,3,5,4,4,5,2,3,5,0,5,2,5
159,0,1,0,1,1,1,0,1,0,0,1,0,3,2,1,2,4,2,3,4,3,2,4,0,5,0,4
160,0,1,1,1,0,0,0,1,1,0,1,0,3,0,0,4,3,3,0,0,0,4,0,0,0,0,4
161,0,1,0,1,1,1,0,1,0,0,0,0,6,1,0,2,1,4,4,4,2,5,4,0,2,0,1
162,0,1,1,1,0,1,1,1,1,1,1,0,7,1,0,5,2,5,3,3,3,4,4,1,2,0,0
163,0,0,1,1,0,0,0,1,0,0,0,1,6,0,0,2,4,2,1,1,2,4,3,0,2,1,0
164,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,1,0,0,0,0,0
165,0,1,0,1,0,0,0,1,0,0,0,0,7,3,0,3,4,5,0,1,0,5,1,0,2,0,0
166,1,1,0,1,0,1,1,1,0,0,0,1,5,1,0,4,2,5,0,3,3,5,0,0,0,5,4
167,0,0,1,0,0,0,0,1,0,0,0,0,1,3,1,3,1,2,0,2,0,2,0,0,1,0,0
168,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
169,0,1,1,0,1,1,1,1,1,0,1,0,4,2,0,4,4,3,4,3,4,5,4,2,3,0,3
170,0,1,0,1,0,1,1,1,0,0,1,0,3,0,0,3,2,4,0,4,4,5,1,0,0,0,0
171,0,0,1,1,1,1,1,1,0,0,1,0,5,0,0,4,4,4,0,3,3,4,1,0,5,0,0
172,0,0,0,1,0,1,1,1,0,0,1,1,5,0,0,3,1,2,2,3,5,3,3,0,5,1,0
173,0,0,0,1,0,0,0,1,0,0,0,1,6,2,0,4,3,5,0,0,0,4,0,0,0,1,0
174,0,1,0,1,0,0,0,1,0,0,1,0,4,0,0,4,1,5,0,0,0,5,0,0,4,0,4
175,0,1,1,1,1,0,1,1,1,0,0,0,5,0,0,3,2,4,4,3,4,4,4,0,2,0,0
176,0,1,1,1,0,0,1,1,0,0,1,0,6,1,0,4,3,4,0,3,4,5,0,2,4,0,4
177,0,1,0,1,1,1,1,1,1,0,1,0,2,3,1,5,5,5,5,5,5,5,5,3,5,0,3
178,0,1,1,1,0,1,1,1,0,0,1,0,6,3,0,3,4,5,3,5,4,5,0,0,2,0,5
179,0,0,1,1,1,1,1,1,1,0,1,0,4,1,0,4,5,4,3,4,3,2,4,0,4,0,3
180,0,1,0,1,0,0,0,1,0,0,1,0,6,0,0,3,2,3,4,0,4,3,4,0,5,0,3
181,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,5,5,5,5,5,5,5,4,3,5,0,4
182,0,1,0,1,0,0,0,1,0,0,1,0,6,2,0,3,1,2,2,2,2,2,0,1,4,1,4
