Age ,Q6,Q4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DES time_Page Submit,DES_score,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
18,Woman,1,2,3,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,0,2,1,0,0,2,1,1,1,0,0,229.481,0.678571429,72,18,Woman,0.95,3,2,0,0.5,2,0,0,0,2,0,5,0,0,1
20,Woman,1,2,4,0,0,0,0,0,0,0,1,0,0,0,3,1,2,2,0,3,0,1,0,0,2,0,1,0,0,240.886,0.785714286,210,20,Woman,0.95,2,2,0,2.5,2,1,0,0,0,0,5,0,1,4
20,Woman,1,1,6,1,0,0,0,0,0,1,1,4,0,0,1,2,1,0,1,6,4,8,4,1,1,2,1,4,0,281.49,1.785714286,135,20,Woman,0.95,2,2,0,0.5,1,1,0,0,1,2,1,4,0,1
20,Woman,1,6,6,2,1,1,0,3,0,2,2,0,3,5,5,6,1,0,0,0,3,5,7,0,1,2,0,0,0,294.89,2.178571429,792,20,Woman,1,2,2,0,1,2,0,0,0,3,0,0,0,0,2
18,Man,1,4,7,6,1,3,6,9,6,7,2,8,10,1,3,5,4,4,7,8,7,0,5,10,7,4,4,8,9,298.504,5.535714286,117,18,Man,1,2,0,0,3,3,2,0,0,0,0,1,0,4,2
18,Woman,1,4,6,0,0,0,1,1,0,4,2,1,5,2,1,2,1,1,1,1,7,3,3,0,1,1,1,0,2,347.805,1.821428571,343,18,Woman,0.95,3,2,0,0.5,1,3,0,0,0,0,0,5,1,0
18,Woman,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,7,3,0,0,0,1,0,0,322.286,0.607142857,92,18,Woman,1,3,1,4,0,1,1,0,0,0,0,2,0,0,0
18,Woman,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,1,2,8,5,1,2,1,1,0,0,183.5,1.107142857,53,18,Woman,1,4,2,0,0,1,1,0,0,2,0,3,0,0,0
18,Woman,1,0,8,0,0,2,2,0,1,0,3,0,0,0,3,2,3,3,4,0,2,0,2,2,5,2,0,1,0,365.846,1.607142857,232,18,Woman,1,1,2,4,0,1,2,0,0,0,0,5,0,0,0
19,Man,1,2,3,1,0,0,1,0,0,0,3,0,0,0,1,2,1,2,3,2,2,5,1,1,2,1,0,0,0,553.625,1.178571429,160,19,Man,0.95,2,3,1,1.5,1,1,0,0,0,0,4,0,1,2
19,Woman,1,2,4,1,0,0,0,0,0,1,2,2,1,0,0,3,0,2,0,3,2,4,5,2,3,1,0,6,1,761.304,1.607142857,73,18,Woman,0.95,3,1,0,0.5,2,1,0,0,0,2,2,2,0,1
20,Woman,1,2,6,1,0,0,0,1,0,0,1,0,0,1,0,1,0,3,1,1,0,7,1,1,2,0,0,1,0,1345.269,1.071428571,879,19,Woman,1,2,2,1,1,2,1,0,0,1,0,2,0,1,1
19,Woman,1,4,7,1,0,0,1,0,1,1,0,0,0,2,4,5,0,3,4,2,0,1,0,1,0,0,0,0,0,173.749,1.321428571,838,18,Woman,1.1,2,4,0,0,3,2,0,0,0,0,0,0,0,0
