Booklet,UNIVERSITY,Participantnumber,Age,Sex,Objectivescore,Objectivereturnscore,Subjectivescore,Subjectivereturnscore,Inductionrating,Q1HANDLOWEROBB,Q1HANDLOWERSUBJ,Q2MAGNETICOBJ,Q2MAGNETICSUBJ,Q3MOSQUITOOBJ,Q3MOSQUITOSUBJ,Q4TASTEOBJ,TASTEMEAN,Q4TASTE1SUBJ,Q4TASTE2SUBJ,Q5RIGIDITYOBJ,Q5RIGIDITYSUBJ,Q6IMMOBILEOBJ,Q6IMMOBILESUBJ,Q7MUSICOBJ,Q7MUSICSUBJ,Q8BALLSOBJ,Q8BALLSSUBJ,Q9AMNESIAOBJ,Q9AMNESIASUBJ,Q10PHSOBJ,Q10PHSSUBJ1,Q10PHSSUBJ2,PHSSUBJECTIVEGEOMETRICMEAN
1,1,113,18,Male,4,6,2.8,2.7,3,1,4,0,4,0,1,1,3,5,1,1,4,0,4,0,1,0,0,0,5,1,4,1,2
2,2,406,18,Female,2, ,2.8,,3,0,4,1,4,0,2,0,3,3,3,1,4,0,4,0,0,0,0,0,4,0,3,3,3
1,1,137,18,Female,5, ,2.8,,3,1,5,1,3,1,5,1,3,4,2,1,4,0,2,0,0,0,0,0,1,0,5,5,5
2,1,284,18,Female,5,5,2.8,2.4,4,1,3,1,4,0,5,1,3,4,2,1,5,1,3,0,0,0,0,0,4,0,2,1,1.414213562
2,2,370,18,Female,6, ,2.9,,3,1,4,1,3,1,3,1,3.5,4,3,1,4,1,4,0,0,0,2,0,2,0,3,3,3
1,1,222,18,Female,4, ,2.9,,3,1,4,1,4,1,4,0,3.5,4,3,1,5,0,4,0,0,0,1,0,3,0,4,0,0
1,1,66,18,Female,8,6,2.9,2.5,3,1,4,1,5,1,3,1,3,4,2,1,3,1,4,0,1,1,2,1,2,0,2,3,2.449489743
1,1,202,18,Female,6, ,3.1,,4,1,4,0,5,0,2,1,3,3,3,1,5,0,3,0,1,1,2,1,4,1,1,4,2
1,1,122,18,Female,7, ,3.2,,4,1,3,1,5,1,5,1,4.5,5,4,1,3,0,3,0,0,0,0,1,4,1,4,4,4
1,1,68,18,Female,7, ,3.2,,3,1,5,1,4,1,2,1,2,2,2,1,5,0,3,0,0,1,5,1,3,0,4,2,2.828427125
1,1,33,18,Female,5, ,3.3,,3,0,5,1,5,0,1,1,3.5,3,4,1,4,1,5,0,0,1,5,0,2,0,4,1,2
1,1,48,18,Female,5, ,3.3,,3,1,5,1,5,0,0,1,4,4,4,1,5,0,4,0,0,0,5,1,3,0,1,5,2.236067977
1,1,91,18,Female,9, ,3.4,,4,1,4,1,5,1,3,1,3.5,4,3,1,5,1,3,1,2,1,3,0,3,1,4,2,2.828427125
1,1,117,18,Female,9, ,3.6,,3,1,5,1,4,1,3,1,3,4,2,1,5,1,4,1,3,1,4,0,1,1,4,4,4
2,2,363,18,Female,7, ,3.7,,4,1,5,1,5,1,2,0,5,5,5,1,5,1,5,0,1,0,1,1,4,1,5,4,4.472135955
1,1,13,18,Female,5,7,3.8,3.5,5,1,5,1,5,0,5,1,4,3,5,0,4,1,5,0,0,0,0,0,5,1,5,5,5
2,1,308,19,Female,0, ,0.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,262,19,Female,4, ,0.0,,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,114,19,Female,0, ,0.1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,55,19,Female,2, ,0.3,,1,0,1,1,1,0,0,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,267,19,Female,2, ,0.3,,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
